ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786565102.209,-1,calibration,1,,0.000663,0.000000,0.006441,-0.021706,-0.000245,0.000000,-0.021951,0.000000,0.007247,-0.004348,-0.000036,0.000000,-0.004385,0.000000,0.000663,-0.000531,-0.000000,0.000000,-0.000531,-55,-11,0,-1,12.0,pre
1786565102.309,-1,calibration,1,,0.000313,0.000000,-0.003836,0.012928,-0.000099,0.304614,0.317443,0.000000,-0.005465,0.003279,-0.000009,0.007627,0.010897,0.000000,0.000313,-0.000250,-0.000000,0.000140,-0.000110,794,27,0,0,12.0,pre
1786565102.409,-1,calibration,1,,0.001992,0.000000,-0.004942,0.016655,0.000089,0.215546,0.232289,0.000000,-0.007182,0.004309,0.000027,0.005607,0.009943,0.000000,0.001992,-0.001594,-0.000000,-0.000588,-0.002181,581,25,0,-4,12.0,pre
1786565102.509,-1,calibration,1,,-0.009143,0.000000,0.001152,-0.003881,0.000045,-0.051287,-0.055122,0.000000,0.002749,-0.001650,0.000013,-0.002595,-0.004231,0.000000,-0.009143,0.007314,0.000000,0.004101,0.011416,-138,-11,0,19,12.0,pre
1786565102.609,-1,calibration,1,,-0.015054,0.000000,0.000778,-0.002621,0.000016,-0.019692,-0.022297,0.000000,-0.000296,0.000178,0.000015,0.000270,0.000463,0.000000,-0.015054,0.012043,0.000000,0.004825,0.016869,-56,1,0,28,12.0,pre
1786565102.709,-1,calibration,1,,0.023916,0.000000,0.003685,-0.012418,-0.000125,-0.097981,-0.110524,0.000000,0.001641,-0.000985,0.000007,-0.001000,-0.001979,0.000000,0.023916,-0.019133,-0.000000,-0.012693,-0.031826,-276,-5,0,-53,12.0,pre
1786565102.809,-1,calibration,1,,0.012346,0.000000,0.002173,-0.007323,-0.000207,-0.013978,-0.021509,0.000000,-0.000678,0.000407,0.000010,0.000791,0.001208,0.000000,0.012346,-0.009877,-0.000000,-0.002988,-0.012865,-54,3,0,-21,12.0,pre
1786565102.909,-1,calibration,1,,-0.003654,0.000000,0.002295,-0.007733,-0.000294,-0.011997,-0.020025,0.000000,0.004600,-0.002760,-0.000013,-0.002692,-0.005465,0.000000,-0.003654,0.002923,-0.000000,0.004607,0.007530,-50,-14,0,13,12.0,pre
1786565103.009,-1,calibration,1,,0.006954,0.000000,0.002516,-0.008478,-0.000390,-0.013744,-0.022611,0.000000,0.005179,-0.003108,-0.000039,-0.001963,-0.005109,0.000000,0.006954,-0.005563,-0.000000,-0.001479,-0.007042,-57,-13,0,-12,12.0,pre
1786565103.109,-1,calibration,1,,0.004429,0.000000,0.002172,-0.007318,-0.000472,0.001952,-0.005838,0.000000,-0.005355,0.003213,-0.000012,0.005143,0.008344,0.000000,0.004429,-0.003543,-0.000000,0.000123,-0.003420,-15,21,0,-6,12.0,pre
1786565103.209,-1,calibration,1,,0.002122,0.000000,0.002010,-0.006772,-0.000549,0.005972,-0.001349,0.000000,0.003665,-0.002199,-0.000031,-0.002326,-0.004556,0.000000,0.002122,-0.001697,-0.000000,0.000997,-0.000701,-3,-11,0,-1,12.0,pre
1786565103.309,-1,calibration,1,,0.001962,0.000000,0.007157,-0.024119,-0.000821,-0.148989,-0.173929,0.000000,-0.000193,0.000116,-0.000030,0.000919,0.001006,0.000000,0.001962,-0.001570,-0.000000,0.000662,-0.000908,-435,3,0,-2,12.0,pre
1786565103.409,-1,calibration,1,,-0.004091,0.000000,0.005030,-0.016951,-0.001012,-0.026348,-0.044312,0.000000,-0.005367,0.003220,-0.000003,0.003656,0.006874,0.000000,-0.004091,0.003273,-0.000000,0.002818,0.006091,-111,17,0,10,12.0,pre
1786565103.509,-1,calibration,1,,-0.001014,0.000000,-0.000850,0.002865,-0.000980,0.158482,0.160368,0.000000,0.009979,-0.005987,-0.000053,-0.007014,-0.013054,0.000000,-0.001014,0.000811,-0.000000,0.000460,0.001272,401,-33,0,2,12.0,pre
1786565103.609,-1,calibration,1,,-0.002904,0.000000,0.004965,-0.016733,-0.001168,-0.077282,-0.095183,0.000000,0.003169,-0.001902,-0.000068,-0.000123,-0.002093,0.000000,-0.002904,0.002323,-0.000000,0.001032,0.003355,-238,-5,0,6,12.0,pre
