ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786564774.569,-1,calibration,1,,0.000663,0.000000,0.006441,-0.003865,-0.000032,0.000000,-0.003897,0.000000,0.007247,-0.004348,-0.000036,0.000000,-0.004385,0.000000,0.000663,-0.000531,-0.000000,0.000000,-0.000531,-10,-11,0,-1,12.0,pre
1786564774.669,-1,calibration,1,,0.000313,0.000000,-0.003826,0.002295,-0.000013,0.006160,0.008442,0.000000,-0.005465,0.003279,-0.000009,0.007627,0.010897,0.000000,0.000313,-0.000250,-0.000000,0.000140,-0.000110,21,27,0,0,12.0,pre
1786564774.769,-1,calibration,1,,0.001992,0.000000,-0.005110,0.003066,0.000012,0.004467,0.007545,0.000000,-0.007182,0.004309,0.000027,0.005607,0.009943,0.000000,0.001992,-0.001594,-0.000000,-0.000588,-0.002181,19,25,0,-4,12.0,pre
1786564774.869,-1,calibration,1,,-0.009143,0.000000,0.000676,-0.000406,0.000009,-0.000792,-0.001189,0.000000,0.002749,-0.001650,0.000013,-0.002595,-0.004231,0.000000,-0.009143,0.007314,0.000000,0.004101,0.011416,-3,-11,0,19,12.0,pre
1786564774.969,-1,calibration,1,,-0.015054,0.000000,0.000042,-0.000025,0.000009,-0.000094,-0.000111,0.000000,-0.000296,0.000178,0.000015,0.000270,0.000463,0.000000,-0.015054,0.012043,0.000000,0.004825,0.016869,0,1,0,28,12.0,pre
1786564775.069,-1,calibration,1,,0.023916,0.000000,0.002714,-0.001628,-0.000005,-0.001660,-0.003293,0.000000,0.001641,-0.000985,0.000007,-0.001000,-0.001979,0.000000,0.023916,-0.019133,-0.000000,-0.012693,-0.031826,-8,-5,0,-53,12.0,pre
1786564775.169,-1,calibration,1,,0.012346,0.000000,0.001043,-0.000626,-0.000010,0.000007,-0.000629,0.000000,-0.000678,0.000407,0.000010,0.000791,0.001208,0.000000,0.012346,-0.009877,-0.000000,-0.002988,-0.012865,-2,3,0,-21,12.0,pre
1786564775.269,-1,calibration,1,,-0.003654,0.000000,0.001026,-0.000615,-0.000015,0.000014,-0.000616,0.000000,0.004600,-0.002760,-0.000013,-0.002692,-0.005465,0.000000,-0.003654,0.002923,-0.000000,0.004607,0.007530,-2,-14,0,13,12.0,pre
1786564775.369,-1,calibration,1,,0.006954,0.000000,0.001125,-0.000675,-0.000021,-0.000051,-0.000747,0.000000,0.005179,-0.003108,-0.000039,-0.001963,-0.005109,0.000000,0.006954,-0.005563,-0.000000,-0.001479,-0.007042,-2,-13,0,-12,12.0,pre
1786564775.469,-1,calibration,1,,0.004429,0.000000,0.000679,-0.000407,-0.000024,0.000237,-0.000194,0.000000,-0.005355,0.003213,-0.000012,0.005143,0.008344,0.000000,0.004429,-0.003543,-0.000000,0.000123,-0.003420,0,21,0,-6,12.0,pre
1786564775.569,-1,calibration,1,,0.002122,0.000000,0.000423,-0.000254,-0.000026,0.000296,0.000016,0.000000,0.003665,-0.002199,-0.000031,-0.002326,-0.004556,0.000000,0.002122,-0.001697,-0.000000,0.000997,-0.000701,0,-11,0,-1,12.0,pre
1786564775.669,-1,calibration,1,,0.001962,0.000000,0.005481,-0.003289,-0.000054,-0.002857,-0.006200,0.000000,-0.000193,0.000116,-0.000030,0.000919,0.001006,0.000000,0.001962,-0.001570,-0.000000,0.000662,-0.000908,-15,3,0,-2,12.0,pre
1786564775.769,-1,calibration,1,,-0.004091,0.000000,0.003371,-0.002023,-0.000070,-0.000449,-0.002542,0.000000,-0.005367,0.003220,-0.000003,0.003656,0.006874,0.000000,-0.004091,0.003273,-0.000000,0.002818,0.006091,-6,17,0,10,12.0,pre
1786564775.869,-1,calibration,1,,-0.001014,0.000000,-0.002467,0.001480,-0.000058,0.003234,0.004656,0.000000,0.009979,-0.005987,-0.000053,-0.007014,-0.013054,0.000000,-0.001014,0.000811,-0.000000,0.000460,0.001272,12,-33,0,2,12.0,pre
1786564775.969,-1,calibration,1,,-0.002904,0.000000,0.003293,-0.001976,-0.000075,-0.001516,-0.003566,0.000000,0.003169,-0.001902,-0.000068,-0.000123,-0.002093,0.000000,-0.002904,0.002323,-0.000000,0.001032,0.003355,-9,-5,0,6,12.0,pre
1786564776.069,-1,calibration,1,,-0.004173,0.000000,-0.007725,0.004635,-0.000036,0.005702,0.010301,0.000000,0.004891,-0.002935,-0.000093,-0.001107,-0.004135,0.000000,-0.004173,0.003339,-0.000000,0.001127,0.004465,26,-10,0,7,12.0,pre
1786564776.169,-1,calibration,1,,-0.004483,0.000000,0.003623,-0.002174,-0.000054,-0.003388,-0.005616,0.000000,-0.006468,0.003881,-0.000061,0.006152,0.009972,0.000000,-0.004483,0.003586,-0.000000,0.000800,0.004387,-14,25,0,7,12.0,pre
1786564776.269,-1,calibration,1,,-0.013126,0.000000,0.006317,-0.003790,-0.000086,-0.003649,-0.007525,0.000000,0.007214,-0.004328,-0.000097,-0.004518,-0.008943,0.000000,-0.013126,0.010501,0.000000,0.003937,0.014438,-19,-22,0,24,12.0,pre
1786564776.369,-1,calibration,1,,0.007194,0.000000,-0.006637,0.003982,-0.000052,0.005583,0.009512,0.000000,-0.000170,0.000102,-0.000096,0.001719,0.001725,0.000000,0.007194,-0.005756,-0.000000,-0.005766,-0.011521,24,4,0,-19,12.0,pre
1786564776.469,-1,calibration,1,,-0.009973,0.000000,0.000832,-0.000499,-0.000057,-0.001131,-0.001687,0.000000,0.001564,-0.000938,-0.000104,-0.000008,-0.001050,0.000000,-0.009973,0.007978,0.000000,0.003407,0.011386,-4,-3,0,19,12.0,pre
1786564776.569,-1,calibration,1,,-0.004429,0.000000,0.002963,-0.001778,-0.000071,-0.001958,-0.003807,0.100000,0.005624,0.056626,0.000368,0.057559,0.114553,0.000000,-0.004429,0.003543,0.000000,-0.000173,0.003370,-10,286,0,6,12.0,step
1786564776.669,-1,calibration,1,,0.007559,0.000000,-0.007140,0.004284,-0.000036,0.004888,0.009136,0.100000,-0.003656,0.062194,0.000887,0.040103,0.103183,0.000000,0.007559,-0.006048,0.000000,-0.004899,-0.010947,23,258,0,-18,12.0,step
