ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786565103.588,-1,calibration,1,,0.000663,0.000000,0.006441,-0.003865,-0.000032,0.000000,-0.003897,0.000000,0.007247,-0.014205,-0.000138,0.000000,-0.014342,0.000000,0.000663,-0.000531,-0.000000,0.000000,-0.000531,-10,-36,0,-1,12.0,pre
1786565103.688,-1,calibration,1,,0.000313,0.000000,-0.003826,0.002295,-0.000013,0.006160,0.008442,0.000000,-0.005472,0.010725,-0.000034,0.257943,0.268634,0.000000,0.000313,-0.000250,-0.000000,0.000140,-0.000110,21,672,0,0,12.0,pre
1786565103.788,-1,calibration,1,,0.001992,0.000000,-0.005110,0.003066,0.000012,0.004467,0.007545,0.000000,-0.007000,0.013720,0.000099,0.185757,0.199577,0.000000,0.001992,-0.001594,-0.000000,-0.000588,-0.002181,19,499,0,-4,12.0,pre
1786565103.888,-1,calibration,1,,-0.009143,0.000000,0.000676,-0.000406,0.000009,-0.000792,-0.001189,0.000000,0.003257,-0.006383,0.000037,-0.096553,-0.102899,0.000000,-0.009143,0.007314,0.000000,0.004101,0.011416,-3,-257,0,19,12.0,pre
1786565103.988,-1,calibration,1,,-0.015054,0.000000,0.000042,-0.000025,0.000009,-0.000094,-0.000111,0.000000,0.000449,-0.000880,0.000029,-0.000992,-0.001843,0.000000,-0.015054,0.012043,0.000000,0.004825,0.016869,0,-5,0,28,12.0,pre
1786565104.088,-1,calibration,1,,0.023916,0.000000,0.002714,-0.001628,-0.000005,-0.001660,-0.003293,0.000000,0.002614,-0.005123,-0.000021,-0.044492,-0.049636,0.000000,0.023916,-0.019133,-0.000000,-0.012693,-0.031826,-8,-124,0,-53,12.0,pre
1786565104.188,-1,calibration,1,,0.012346,0.000000,0.001043,-0.000626,-0.000010,0.000007,-0.000629,0.000000,0.000477,-0.000934,-0.000030,0.016642,0.015678,0.000000,0.012346,-0.009877,-0.000000,-0.002988,-0.012865,-2,39,0,-21,12.0,pre
1786565104.288,-1,calibration,1,,-0.003654,0.000000,0.001026,-0.000615,-0.000015,0.000014,-0.000616,0.000000,0.005940,-0.011643,-0.000143,-0.100813,-0.112598,0.000000,-0.003654,0.002923,-0.000000,0.004607,0.007530,-2,-281,0,13,12.0,pre
1786565104.388,-1,calibration,1,,0.006954,0.000000,0.001125,-0.000675,-0.000021,-0.000051,-0.000747,0.000000,0.006617,-0.012970,-0.000268,-0.074223,-0.087462,0.000000,0.006954,-0.005563,-0.000000,-0.001479,-0.007042,-2,-219,0,-12,12.0,pre
1786565104.488,-1,calibration,1,,0.004429,0.000000,0.000679,-0.000407,-0.000024,0.000237,-0.000194,0.000000,-0.003885,0.007616,-0.000195,0.168464,0.175885,0.000000,0.004429,-0.003543,-0.000000,0.000123,-0.003420,0,440,0,-6,12.0,pre
1786565104.588,-1,calibration,1,,0.002122,0.000000,0.000423,-0.000254,-0.000026,0.000296,0.000016,0.000000,0.005292,-0.010372,-0.000295,-0.085041,-0.095709,0.000000,0.002122,-0.001697,-0.000000,0.000997,-0.000701,0,-239,0,-1,12.0,pre
1786565104.688,-1,calibration,1,,0.001962,0.000000,0.005481,-0.003289,-0.000054,-0.002857,-0.006200,0.000000,0.001516,-0.002971,-0.000324,0.025555,0.022260,0.000000,0.001962,-0.001570,-0.000000,0.000662,-0.000908,-15,56,0,-2,12.0,pre
1786565104.788,-1,calibration,1,,-0.004091,0.000000,0.003371,-0.002023,-0.000070,-0.000449,-0.002542,0.000000,-0.003563,0.006983,-0.000256,0.118332,0.125059,0.000000,-0.004091,0.003273,-0.000000,0.002818,0.006091,-6,313,0,10,12.0,pre
1786565104.888,-1,calibration,1,,-0.001014,0.000000,-0.002467,0.001480,-0.000058,0.003234,0.004656,0.000000,0.011964,-0.023450,-0.000484,-0.243893,-0.267827,0.000000,-0.001014,0.000811,-0.000000,0.000460,0.001272,12,-670,0,2,12.0,pre
