ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786556670.584,-1,calibration,1,,0.000663,0.000000,0.006441,-0.025764,-0.000348,0.000000,-0.026112,0.000000,0.007247,-0.016959,-0.000196,0.000000,-0.017154,0.000000,0.000663,-0.000531,-0.000000,0.000000,-0.000531,-65,-43,0,-1,12.0,pre
1786556670.684,-1,calibration,1,,0.000313,0.000000,-0.003842,0.015368,-0.000140,0.302726,0.317953,0.000000,-0.005477,0.012815,-0.000048,0.258038,0.270806,0.000000,0.000313,-0.000250,-0.000000,0.000140,-0.000110,795,677,0,0,12.0,pre
1786556670.784,-1,calibration,1,,0.001992,0.000000,-0.004915,0.019658,0.000125,0.213214,0.232997,0.000000,-0.006967,0.016303,0.000140,0.185053,0.201496,0.000000,0.001992,-0.001594,-0.000000,-0.000588,-0.002181,582,504,0,-4,12.0,pre
1786556670.884,-1,calibration,1,,-0.009143,0.000000,0.001237,-0.004949,0.000058,-0.053181,-0.058072,0.000000,0.003355,-0.007852,0.000050,-0.098311,-0.106113,0.000000,-0.009143,0.007314,0.000000,0.004101,0.011416,-145,-265,0,19,12.0,pre
1786556670.984,-1,calibration,1,,-0.015054,0.000000,0.000907,-0.003628,0.000009,-0.022182,-0.025801,0.000000,0.000590,-0.001380,0.000034,-0.002897,-0.004243,0.000000,-0.015054,0.012043,0.000000,0.004825,0.016869,-65,-11,0,28,12.0,pre
1786556671.084,-1,calibration,1,,0.023916,0.000000,0.003847,-0.015390,-0.000199,-0.099880,-0.115468,0.000000,0.002790,-0.006528,-0.000042,-0.046359,-0.052929,0.000000,0.023916,-0.019133,-0.000000,-0.012693,-0.031826,-289,-132,0,-53,12.0,pre
1786556671.184,-1,calibration,1,,0.012346,0.000000,0.002348,-0.009393,-0.000325,-0.015790,-0.025509,0.000000,0.000675,-0.001579,-0.000060,0.015079,0.013441,0.000000,0.012346,-0.009877,-0.000000,-0.002988,-0.012865,-64,34,0,-21,12.0,pre
1786556671.284,-1,calibration,1,,-0.003654,0.000000,0.002475,-0.009900,-0.000459,-0.013206,-0.023564,0.000000,0.006158,-0.014409,-0.000226,-0.102149,-0.116785,0.000000,-0.003654,0.002923,-0.000000,0.004607,0.007530,-59,-292,0,13,12.0,pre
1786556671.384,-1,calibration,1,,0.006954,0.000000,0.002694,-0.010777,-0.000604,-0.014377,-0.025759,0.000000,0.006832,-0.015987,-0.000410,-0.074958,-0.091355,0.000000,0.006954,-0.005563,-0.000000,-0.001479,-0.007042,-64,-228,0,-12,12.0,pre
1786556671.484,-1,calibration,1,,0.004429,0.000000,0.002342,-0.009370,-0.000731,0.001728,-0.008373,0.000000,-0.003691,0.008638,-0.000311,0.168438,0.176765,0.000000,0.004429,-0.003543,-0.000000,0.000123,-0.003420,-21,442,0,-6,12.0,pre
1786556671.584,-1,calibration,1,,0.002122,0.000000,0.002170,-0.008679,-0.000848,0.006121,-0.003407,0.000000,0.005493,-0.012854,-0.000459,-0.085203,-0.098516,0.000000,0.002122,-0.001697,-0.000000,0.000997,-0.000701,-9,-246,0,-1,12.0,pre
1786556671.684,-1,calibration,1,,0.001962,0.000000,0.007305,-0.029219,-0.001243,-0.147497,-0.177959,0.000000,0.001706,-0.003992,-0.000505,0.025684,0.021187,0.000000,0.001962,-0.001570,-0.000000,0.000662,-0.000908,-445,53,0,-2,12.0,pre
1786556671.784,-1,calibration,1,,-0.004091,0.000000,0.005141,-0.020564,-0.001520,-0.024801,-0.046885,0.000000,-0.003382,0.007913,-0.000414,0.118591,0.126090,0.000000,-0.004091,0.003273,-0.000000,0.002818,0.006091,-117,315,0,10,12.0,pre
1786556671.884,-1,calibration,1,,-0.001014,0.000000,-0.000781,0.003124,-0.001478,0.159461,0.161107,0.000000,0.012156,-0.028444,-0.000742,-0.243947,-0.273133,0.000000,-0.001014,0.000811,-0.000000,0.000460,0.001272,403,-683,0,2,12.0,pre
1786556671.984,-1,calibration,1,,-0.002904,0.000000,0.005015,-0.020062,-0.001749,-0.074967,-0.096777,0.000000,0.005291,-0.012380,-0.000885,-0.007142,-0.020407,0.000000,-0.002904,0.002323,-0.000000,0.001032,0.003355,-242,-51,0,6,12.0,pre
1786556672.084,-1,calibration,1,,-0.004173,0.000000,-0.006038,0.024151,-0.001423,0.280424,0.303152,0.000000,0.006943,-0.016247,-0.001072,-0.037797,-0.055116,0.000000,-0.004173,0.003339,-0.000000,0.001127,0.004465,758,-138,0,7,12.0,pre
1786556672.184,-1,calibration,1,,-0.004483,0.000000,0.005493,-0.021972,-0.001719,-0.171207,-0.194898,0.000000,-0.004529,0.010599,-0.000950,0.209982,0.219630,0.000000,-0.004483,0.003586,-0.000000,0.000800,0.004387,-487,549,0,7,12.0,pre
1786556672.284,-1,calibration,1,,-0.013126,0.000000,0.008221,-0.032883,-0.002163,-0.183031,-0.218077,0.000000,0.009237,-0.021614,-0.001199,-0.153185,-0.175998,0.000000,-0.013126,0.010501,0.000000,0.003937,0.014438,-545,-440,0,24,12.0,pre
1786556672.384,-1,calibration,1,,0.007194,0.000000,-0.004856,0.019423,-0.001901,0.275153,0.292675,0.000000,0.001780,-0.004165,-0.001248,0.059308,0.053895,0.000000,0.007194,-0.005756,-0.000000,-0.005766,-0.011521,732,135,0,-19,12.0,pre
1786556672.484,-1,calibration,1,,-0.009973,0.000000,0.002704,-0.010817,-0.002047,-0.057473,-0.070337,0.000000,0.003492,-0.008171,-0.001342,0.000868,-0.008645,0.000000,-0.009973,0.007978,0.000000,0.003407,0.011386,-176,-22,0,19,12.0,pre
1786556672.584,-1,calibration,1,,-0.004429,0.000000,0.004872,-0.019489,-0.002310,-0.098314,-0.120113,0.100000,0.007525,0.216393,0.001155,1.946739,0.400000,0.000000,-0.004429,0.003543,0.000000,-0.000173,0.003370,-300,1000,0,6,12.0,step
1786556672.684,-1,calibration,1,,0.007559,0.000000,-0.005283,0.021130,-0.002025,0.239970,0.259075,0.100000,-0.001520,0.237558,0.003896,1.351475,0.400000,0.000000,0.007559,-0.006048,0.000000,-0.004899,-0.010947,648,1000,0,-18,12.0,step
1786556672.784,-1,calibration,1,,-0.009962,0.000000,-0.006644,0.026576,-0.001666,0.184064,0.208973,0.100000,0.002498,0.228155,0.006529,0.729390,0.400000,0.000000,-0.009962,0.007970,0.000000,0.004069,0.012039,522,1000,0,20,12.0,step
1786556672.884,-1,calibration,1,,0.000121,0.000000,0.001654,-0.006617,-0.001756,-0.133858,-0.142230,0.100000,0.002753,0.227559,0.009154,0.432471,0.400000,0.000000,0.000121,-0.000097,0.000000,-0.001592,-0.001689,-356,1000,0,-3,12.0,step
1786556672.984,-1,calibration,1,,0.013312,0.000000,0.009981,-0.039925,-0.002295,-0.325466,-0.367686,0.100000,0.007415,0.216648,0.011654,0.164925,0.393227,0.000000,0.013312,-0.010650,-0.000000,-0.006232,-0.016881,-919,983,0,-28,12.0,step
1786556673.084,-1,calibration,1,,0.003761,0.000000,0.001655,-0.006619,-0.002384,0.049850,0.040846,0.100000,0.004548,0.223358,0.014231,0.157105,0.394694,0.000000,0.003761,-0.003009,-0.000000,0.000081,-0.002927,102,987,0,-5,12.0,step
