ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786565105.065,-1,calibration,1,,0.000663,0.000000,0.006441,-0.003865,-0.000032,0.000000,-0.003897,0.000000,0.007247,-0.004348,-0.000036,0.000000,-0.004385,0.000000,0.000663,-0.018839,-0.000425,0.000000,-0.019264,-10,-11,0,-32,12.0,pre
1786565105.165,-1,calibration,1,,0.000308,0.000000,-0.003826,0.002295,-0.000013,0.006160,0.008442,0.000000,-0.005465,0.003279,-0.000009,0.007627,0.010897,0.000000,0.000308,-0.008743,-0.000622,0.044794,0.035430,21,27,0,59,12.0,pre
1786565105.265,-1,calibration,1,,0.001993,0.000000,-0.005110,0.003066,0.000012,0.004467,0.007545,0.000000,-0.007182,0.004309,0.000027,0.005607,0.009943,0.000000,0.001993,-0.056594,-0.001897,-0.185419,-0.243909,19,25,0,-407,12.0,pre
1786565105.365,-1,calibration,1,,-0.009205,0.000000,0.000676,-0.000406,0.000009,-0.000792,-0.001189,0.000000,0.002749,-0.001650,0.000013,-0.002595,-0.004231,0.000000,-0.009205,0.261423,0.003994,1.299667,0.600000,-3,-11,0,1000,12.0,pre
1786565105.465,-1,calibration,1,,-0.015012,0.000000,0.000042,-0.000025,0.000009,-0.000094,-0.000111,0.000000,-0.000296,0.000178,0.000015,0.000270,0.000463,0.000000,-0.015012,0.426327,0.013602,1.511419,0.600000,0,1,0,1000,12.0,pre
1786565105.565,-1,calibration,1,,0.024211,0.000000,0.002714,-0.001628,-0.000005,-0.001660,-0.003293,0.000000,0.001641,-0.000985,0.000007,-0.001000,-0.001979,0.000000,0.024211,-0.687593,-0.001893,-4.035192,-0.600000,-8,-5,0,-1000,12.0,pre
1786565105.665,-1,calibration,1,,0.012725,0.000000,0.001043,-0.000626,-0.000010,0.000007,-0.000629,0.000000,-0.000678,0.000407,0.000010,0.000791,0.001208,0.000000,0.012725,-0.361386,-0.010037,-0.973858,-0.600000,-2,3,0,-1000,12.0,pre
1786565105.765,-1,calibration,1,,-0.003359,0.000000,0.001026,-0.000615,-0.000015,0.000014,-0.000616,0.000000,0.004600,-0.002760,-0.000013,-0.002692,-0.005465,0.000000,-0.003359,0.095393,-0.007888,1.442241,0.600000,-2,-14,0,1000,12.0,pre
1786565105.865,-1,calibration,1,,0.007338,0.000000,0.001125,-0.000675,-0.000021,-0.000051,-0.000747,0.000000,0.005179,-0.003108,-0.000039,-0.001963,-0.005109,0.000000,0.007338,-0.208413,-0.012584,-0.482527,-0.600000,-2,-13,0,-1000,12.0,pre
1786565105.965,-1,calibration,1,,0.004729,0.000000,0.000679,-0.000407,-0.000024,0.000237,-0.000194,0.000000,-0.005355,0.003213,-0.000012,0.005143,0.008344,0.000000,0.004729,-0.134315,-0.015611,0.039230,-0.110695,0,21,0,-184,12.0,pre
