ts,frame_idx,mode,aruco_visible,yaw_pixhawk_rad,yaw_aruco_rad,surge_setpoint,surge_measured,surge_p,surge_i,surge_d,surge_out,sway_setpoint,sway_measured,sway_p,sway_i,sway_d,sway_out,yaw_setpoint,yaw_measured,yaw_p,yaw_i,yaw_d,yaw_out,motor_x,motor_y,motor_z,motor_r,battery_voltage,phase
1786556671.706,-1,calibration,1,,0.000663,0.000000,0.006441,-0.003865,-0.000032,0.000000,-0.003897,0.000000,0.007247,-0.004348,-0.000036,0.000000,-0.004385,0.000000,0.000663,-0.001990,-0.000025,0.000000,-0.002015,-10,-11,0,-3,12.0,pre
1786556671.806,-1,calibration,1,,0.000312,0.000000,-0.003826,0.002295,-0.000013,0.006160,0.008442,0.000000,-0.005465,0.003279,-0.000009,0.007627,0.010897,0.000000,0.000312,-0.000935,-0.000037,0.008441,0.007469,21,27,0,12,12.0,pre
1786556671.906,-1,calibration,1,,0.001996,0.000000,-0.005110,0.003066,0.000012,0.004467,0.007545,0.000000,-0.007182,0.004309,0.000027,0.005607,0.009943,0.000000,0.001996,-0.005988,-0.000111,-0.035361,-0.041461,19,25,0,-69,12.0,pre
1786556672.006,-1,calibration,1,,-0.009167,0.000000,0.000676,-0.000406,0.000009,-0.000792,-0.001189,0.000000,0.002749,-0.001650,0.000013,-0.002595,-0.004231,0.000000,-0.009167,0.027501,0.000232,0.246695,0.274428,-3,-11,0,457,12.0,pre
1786556672.106,-1,calibration,1,,-0.014885,0.000000,0.000042,-0.000025,0.000009,-0.000094,-0.000111,0.000000,-0.000296,0.000178,0.000015,0.000270,0.000463,0.000000,-0.014885,0.044656,0.000791,0.285262,0.330709,0,1,0,551,12.0,pre
1786556672.206,-1,calibration,1,,0.024530,0.000000,0.002714,-0.001628,-0.000005,-0.001660,-0.003293,0.000000,0.001641,-0.000985,0.000007,-0.001000,-0.001979,0.000000,0.024530,-0.073589,-0.000129,-0.774804,-0.600000,-8,-5,0,-1000,12.0,pre
1786556672.306,-1,calibration,1,,0.012908,0.000000,0.001043,-0.000626,-0.000010,0.000007,-0.000629,0.000000,-0.000678,0.000407,0.000010,0.000791,0.001208,0.000000,0.012908,-0.038725,-0.000613,-0.185974,-0.225312,-2,3,0,-376,12.0,pre
1786556672.406,-1,calibration,1,,-0.003317,0.000000,0.001026,-0.000615,-0.000015,0.000014,-0.000616,0.000000,0.004600,-0.002760,-0.000013,-0.002692,-0.005465,0.000000,-0.003317,0.009951,-0.000489,0.277829,0.287291,-2,-14,0,479,12.0,pre
1786556672.506,-1,calibration,1,,0.007310,0.000000,0.001125,-0.000675,-0.000021,-0.000051,-0.000747,0.000000,0.005179,-0.003108,-0.000039,-0.001963,-0.005109,0.000000,0.007310,-0.021929,-0.000763,-0.088349,-0.111041,-2,-13,0,-185,12.0,pre
1786556672.606,-1,calibration,1,,0.004716,0.000000,0.000679,-0.000407,-0.000024,0.000237,-0.000194,0.000000,-0.005355,0.003213,-0.000012,0.005143,0.008344,0.000000,0.004716,-0.014147,-0.000940,0.009252,-0.005834,0,21,0,-10,12.0,pre
1786556672.706,-1,calibration,1,,0.002341,0.000000,0.000423,-0.000254,-0.000026,0.000296,0.000016,0.000000,0.003665,-0.002199,-0.000031,-0.002326,-0.004556,0.000000,0.002341,-0.007023,-0.001028,0.062540,0.054489,0,-11,0,91,12.0,pre
1786556672.806,-1,calibration,1,,0.002163,0.000000,0.005481,-0.003289,-0.000054,-0.002857,-0.006200,0.000000,-0.000193,0.000116,-0.000030,0.000919,0.001006,0.000000,0.002163,-0.006490,-0.001109,0.041788,0.034190,-15,3,0,57,12.0,pre
1786556672.906,-1,calibration,1,,-0.003878,0.000000,0.003371,-0.002023,-0.000070,-0.000449,-0.002542,0.000000,-0.005367,0.003220,-0.000003,0.003656,0.006874,0.000000,-0.003878,0.011633,-0.000963,0.170057,0.180727,-6,17,0,301,12.0,pre
1786556673.006,-1,calibration,1,,-0.000644,0.000000,-0.002467,0.001480,-0.000058,0.003234,0.004656,0.000000,0.009979,-0.005987,-0.000053,-0.007014,-0.013054,0.000000,-0.000644,0.001931,-0.000939,0.024417,0.025408,12,-33,0,42,12.0,pre
1786556673.106,-1,calibration,1,,-0.002364,0.000000,0.003293,-0.001976,-0.000075,-0.001516,-0.003566,0.000000,0.003169,-0.001902,-0.000068,-0.000123,-0.002093,0.000000,-0.002364,0.007091,-0.000851,0.055934,0.062174,-9,-5,0,104,12.0,pre
1786556673.206,-1,calibration,1,,-0.003423,0.000000,-0.007725,0.004635,-0.000036,0.005702,0.010301,0.000000,0.004891,-0.002935,-0.000093,-0.001107,-0.004135,0.000000,-0.003423,0.010270,-0.000722,0.058987,0.068535,26,-10,0,114,12.0,pre
